Medicine Name,Uses,Manufacturer
Sylate 250 Tablet, Bleeding,Emcure Pharmaceuticals Ltd
Susten SR 400 Tablet, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Seroflo 100 Rotacaps,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Spastone Tablet,Treatment of Menstrual painTreatment of Abdominal cramp,Leeford Healthcare Ltd
Sizodon Oral Solution,Treatment of SchizophreniaTreatment of Mania,Sun Pharmaceutical Industries Ltd
Silvacure Plus Cream, Burns Wound infection,Leeford Healthcare Ltd
Suganril Tablet, Pain relief,Abbott
Superia DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Sun Pharmaceutical Industries Ltd
Siphene -M Tablet,Treatment of Male infertilityTreatment of Female infertility,Serum Institute Of India Ltd
Symhylo 1% Eye Drop,Treatment of Dry eyes,Berry & Herbs Pharma Pvt Ltd
Soha 0.1% Eye Drop,Treatment of Dry eyes,Sun Pharmaceutical Industries Ltd
Supermet XL 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Abbott
Sreyas Tablet,Treatment of Common cold,SKN Organics
Sartel-Beta 25 Tablet ER,Treatment of Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Sumo L 120 Suspension Strawberry, Pain reliefTreatment of Fever,Alkem Laboratories Ltd
Salbetol 4mg Tablet,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,FDC Ltd
Strone 200 Capsule, Hormone replacement therapyTreatment of Female infertility,Serum Institute Of India Ltd
Synaptol SR 150 Tablet, Muscle relaxation,Sun Pharmaceutical Industries Ltd
Sporanox Capsule,Treatment of Fungal infections,Janssen Pharmaceuticals
Smarti-M Tablet, Sneezing and runny nose due to allergies,Zydus Cadila
S-Numlo 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Emcure Pharmaceuticals Ltd
Solitair Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Blue Cross Laboratories Ltd
SR Pevesca Plus 75 Tablet, Neuropathic pain,USV Ltd
Spasmindon Paediatric Drops,Improving Abdominal painTreatment of Irritable bowel syndrome,Zydus Healthcare Limited
Sysfol Plus Tablet,Treatment of Nausea and vomiting in pregnancy,Systopic Laboratories Pvt Ltd
Skinbrite Cream,Treatment of Melasma,Galpha Laboratories Ltd
Sinate -OD Tablet,Treatment of Nausea and vomiting in pregnancy,Serum Institute Of India Ltd
Seromune 500 Tablet, Prevention of organ rejection in transplant patients,Cipla Ltd
Soltus 50 Tablet, Schizophrenia,Intas Pharmaceuticals Ltd
Solvin Cough Syrup Sugar Free,Treatment of Dry cough,Ipca Laboratories Ltd
Sudif Cream,Treatment of Bacterial skin infections Bacterial eye infections,KLM Laboratories Pvt Ltd
Selgin Tablet, Parkinson's disease,Intas Pharmaceuticals Ltd
Seradic Tablet, Pain relief,Obsurge Biotech Ltd
Salbair-I Transhaler,Treatment of Chronic obstructive pulmonary disease (COPD),Lupin Ltd
Synflorix Vaccine," Prevention of pneumonia, meningitis, blood infection & ear infection",Glaxo SmithKline Pharmaceuticals Ltd
Syncapone 100 Tablet, Parkinson's disease,Sun Pharmaceutical Industries Ltd
Syndopa 275 Tablet,Treatment of Parkinson's disease,Sun Pharmaceutical Industries Ltd
Sizodon 2 Tablet,Treatment of SchizophreniaTreatment of Mania,Sun Pharmaceutical Industries Ltd
Stelbid 2 Tablet, Irritable bowel syndrome,Corona Remedies Pvt Ltd
Susten VT 200 Tablet, Hormone replacement therapyTreatment of Female infertility,Sun Pharmaceutical Industries Ltd
Sizopin 50 Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Stamlo 10 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Dr Reddy's Laboratories Ltd
Starpress-AM XL 50 Tablet,Treatment of Hypertension (high blood pressure),Lupin Ltd
Stator 20 Tablet, High cholesterolPrevention of Heart attack,Abbott
Starclav 625 Tablet,Treatment of Bacterial infections,Indchemie Health Specialities Pvt Ltd
Sufrate O Suspension,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Eskag Pharma Pvt Ltd
Storfib 145 Tablet,Treatment of High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Sustanon 100 Injection,Treatment of Male hypogonadism,Zydus Cadila
Soft Tears Eye Drop,Treatment of Dry eyes,Synthergen Therapeutics Pvt Ltd
Safecet Tablet,Treatment of Allergic conditions,Talent India 
Safepodox 200mg Tablet DT,Treatment of Bacterial infections,Abbott
Soframax Cream, Bacterial skin infections,Leeford Healthcare Ltd
Solicept 10 Tablet,Treatment of Overactive bladder (OAB) symptoms,Lupin Ltd
Surfaz Dusting Powder,Treatment of Fungal skin infections,Franco-Indian Pharmaceuticals Pvt Ltd
Stoplos A Plus Tablet Lemon,Treatment of OsteoporosisTreatment of Paget's disease,Zydus Cadila
SR Fil Enema,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Fourrts India Laboratories Pvt Ltd
Sporidex Oral Suspension,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Sebifin Cream, Fungal skin infections,Sun Pharmaceutical Industries Ltd
Salbair Neb 0.63 Transpules, Chronic obstructive pulmonary disease (COPD)Treatment of Asthma,Lupin Ltd
Serenace Liquid, Schizophrenia,RPG Life Sciences Ltd
Sorvate C Ointment, Psoriasis,Glenmark Pharmaceuticals Ltd
Solfe Tablet, Iron deficiency anemia,Abbott
Sucramal-O Oral Suspension,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,A. Menarini India Pvt Ltd
Silocap 8 Capsule,Treatment of Benign prostatic hyperplasia,Overseas Healthcare Pvt Ltd
Swich 100 DT Tablet,Treatment of Bacterial infections,Alkem Laboratories Ltd
Sicriptin Tablet, High levels of prolactin Female infertility Acromegaly,Serum Institute Of India Ltd
Sysron-NCR 15 Tablet,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS),Systopic Laboratories Pvt Ltd
Storvas 80 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Skinshine Cream,Treatment of Melasma,Cadila Pharmaceuticals Ltd
Swich CV 50 Dry Syrup,Treatment of Respiratory tract infection,Alkem Laboratories Ltd
Sevcar 800 Tablet, High phosphate levels in blood,Emcure Pharmaceuticals Ltd
Silotrif 8 Capsule,Treatment of Benign prostatic hyperplasia,MSN Laboratories
Stablanz Tablet, Vertigo,Ordain Health Care Global Pvt Ltd
Sulpitac 200 Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Supermet XL 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Abbott
Stelbid Spas 80mg/50mg Tablet, Abdominal pain,Corona Remedies Pvt Ltd
Sporidex DS 250mg Tablet,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Syntran SB Capsule,Treatment of Fungal infections,Glenmark Pharmaceuticals Ltd
Soventus-DC Oral Suspension,Treatment of Dry cough,Zuventus Healthcare Ltd
S-Celepra 10 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Micro Labs Ltd
Sibofix 550 Tablet,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea,Dr Reddy's Laboratories Ltd
Staphonex 500mg Capsule,Treatment of Bacterial infections,Fusion Healthcare Pvt Ltd
Sartel 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Intas Pharmaceuticals Ltd
Szetalo 10 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Abbott
Sartel-C 40 Tablet, Hypertension (high blood pressure),Intas Pharmaceuticals Ltd
Spirodin 650 Tablet MR,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),Koye Pharmaceuticals Pvt ltd
Seradic-Plus Tablet, Pain relief,Obsurge Biotech Ltd
Spiromide Tablet,Treatment of Edema,RPG Life Sciences Ltd
Silofast 4 Capsule,Treatment of Benign prostatic hyperplasia,Cipla Ltd
Storax PR Tablet, Stroke,Intas Pharmaceuticals Ltd
Synvisc Hylan GF 20mg Injection, Osteoarthritis,GENZYME
Smartilon 20 Tablet, Contraception,Walter Bushnell
Stafcure 250 Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Sodanet 500mg Tablet,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis,Septalyst Lifesciences Pvt.Ltd.
Sofraxine Cream, Bacterial skin infections,Universal Twin Labs
Sinarest-AF Paediatric Drops,Treatment of Common cold,Centaur Pharmaceuticals Pvt Ltd
Seradic-MR Tablet,Treatment of Pain due to muscle spasm,Obsurge Biotech Ltd
Seroflo 500 Rotacap,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
Senzmox Eye Drop,Treatment of Bacterial eye infections,Senses Pharmaceuticals Ltd
Sotalar 40 Tablet, Arrhythmia,Cipla Ltd
SzHH Cream,Treatment of Fungal skin infectionsTreatment of Fungal infections,Hegde and Hegde Pharmaceutical LLP
Starpress R XL 25 Tablet, Hypertension (high blood pressure),Lupin Ltd
Saferet 10 Tablet,Treatment of Acne,Canixa Life Sciences Pvt
Sertaspor Cream,Treatment of Fungal skin infectionsTreatment of Fungal infections,Intas Pharmaceuticals Ltd
Supirocin Cream,Treatment of Bacterial skin infections,Glenmark Pharmaceuticals Ltd
Starpress XL 12.5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Lupin Ltd
Sistal Plus Tablet, Pain relief,BestoChem Formulations  India  Ltd
Synpirox Cream, Fungal skin infections Fungal nail infections,Synmedic Laboratories
Saptob Eye Drop,Treatment of Bacterial eye infections,Sapient Laboratories Pvt Ltd
Swich O Tablet, Bacterial infections,Alkem Laboratories Ltd
Sunapro Tablet,Treatment of Migraine,Intas Pharmaceuticals Ltd
Sonirab-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Ronyd Healthcare Pvt Ltd
Supirocin-B Plus Ointment,Treatment of Bacterial skin infections,Glenmark Pharmaceuticals Ltd
Sofirash Cream, Sunburn,KLM Laboratories Pvt Ltd
Sifasi Aqua 5000IU Injection,Treatment of Female infertilityTreatment of Male hypogonadism,Serum Institute Of India Ltd
Sifasi Aqua 5000IU Injection,Treatment of Female infertilityTreatment of Male hypogonadism,Serum Institute Of India Ltd
S Citadep 10 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Cipla Ltd
Stonil Oral Solution,Treatment of Kidney stone,Tas Med India Pvt Ltd
Samlokind-AT Tablet,Treatment of Hypertension (high blood pressure),Mankind Pharma Ltd
Synaps-NT Tablet,Treatment of Neuropathic pain,Wisteria Healthcare LLP
Spiromont-F Tablet,Treatment of Sneezing and runny nose due to allergies,Koye Pharmaceuticals Pvt ltd
Somazina Plus 400 Tablet, Stroke,Dr Reddy's Laboratories Ltd
Statpure 20 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Mankind Pharma Ltd
Swiftolac Syrup,Treatment of ConstipationTreatment of Hepatic encephalopathy,Shreya Life Sciences Pvt Ltd
Softee Cream,Treatment of Anal fissure,Leo Pharmaceuticals
Stator CV 10mg/75mg Capsule, Heart attack prevention and high cholesterol,Abbott
Sysnit-SR Tablet,Treatment of Bacterial infections of urinary tract,Systopic Laboratories Pvt Ltd
Smartinor CR 10mg Tablet,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS),Walter Bushnell
Sebumclear N Gel,Treatment of Acne,MRHM Pharma Pvt Ltd
Sucralcoat Ano Rectal Cream,Treatment of Piles,Ordain Health Care Global Pvt Ltd
Spurge Tablet,Treatment of Abdominal pain,Obsurge Biotech Ltd
Sertima 50 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Intas Pharmaceuticals Ltd
Starcad-Beta 25 Tablet ER,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of StrokePrevention of Migraine,Lupin Ltd
Stanhist 10 Tablet,Treatment of Allergic conditions,Sun Pharmaceutical Industries Ltd
Spasmonil Drop,Improving Abdominal painTreatment of Irritable bowel syndrome,Cipla Ltd
Safexim 200 Tablet DT,Treatment of Bacterial infections,Abbott
Skintop Cream,Treatment of Skin infections,Group Pharmaceuticals Ltd
Silybon Suspension, Chronic liver disease Liver cirrhosis,Micro Labs Ltd
Serlift 100 Tablet,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Eris Lifesciences Ltd
Semi Amaryl M Tablet PR,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Synaptol 50 Tablet, Muscle relaxation,Sun Pharmaceutical Industries Ltd
Safeova Tablet,Treatment of Female infertility,HBC Lifesciences Pvt Ltd
Symbiotik XL 625 Tablet,Treatment of Bacterial infections,Cadila Pharmaceuticals Ltd
Scabiped Lotion, Scabies,Parker Robinson Pvt  Ltd
Serax D Tablet, Pain relief,Mars Therapeutics & Chemicals Ltd
Seretide 50mcg/500mcg Accuhaler,Treatment of Chronic obstructive pulmonary disease (COPD),Glaxo SmithKline Pharmaceuticals Ltd
Salazar DS Tablet,Treatment of Rheumatoid arthritisTreatment of Ulcerative colitisTreatment of Crohn’s diseaseTreatment of Ankylosing spondylitisTreatment of Psoriatic arthritis,Zydus Cadila
Sclerifuma 240 Capsule DR, Multiple sclerosis (MS),Sun Pharmaceutical Industries Ltd
Smartilon 30 Tablet, Contraception,Walter Bushnell
Silodal-D4 Tablet Combipack, Benign prostatic hyperplasia,Sun Pharmaceutical Industries Ltd
Symbicort 320mcg/9mcg Turbuhaler,Treatment of Chronic obstructive pulmonary disease (COPD),AstraZeneca
Sufrate TP Ointment, Bacterial skin infections,Eskag Pharma Pvt Ltd
Storvas EZ 10 Tablet, High cholesterol,Sun Pharmaceutical Industries Ltd
Storax 500 Tablet,Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Intas Pharmaceuticals Ltd
Soltus 100 Tablet, Schizophrenia,Intas Pharmaceuticals Ltd
Siromus 1mg Tablet, Prevention of kidney transplant rejection,Zydus Cadila
Silagra 100mg Tablet,Treatment of Erectile dysfunction,Cipla Ltd
Senseit Gel, Neuropathic pain,Pharmanova India Drugs Pvt Ltd
Sporidex Redimix Oral Suspension,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Sensiclav 375 Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Stimufol 2.5mg Tablet,Treatment of Breast cancerTreatment of Infertility due to anovulation,Intas Pharmaceuticals Ltd
Somagesic Forte Tablet, Pain relief,Somatico Pharmacal Pvt Ltd
Sympta 20 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,Ipca Laboratories Ltd
Sonaxa NT 75mg/10mg Tablet,Treatment of Neuropathic pain,Eris Lifesciences Ltd
Septasteril Tablet,Treatment of Chronic kidney disease,Septalyst Lifesciences Pvt.Ltd.
Spasmopriv 100mg Capsule, Pain due to smooth muscle spasm,Micro Labs Ltd
Strozina Plus Tablet, Stroke,Arinna Lifescience Pvt Ltd
Sucral Tablet,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Strassenburg Pharmaceuticals.Ltd
Skinn-C Soap, Skin infectionsTreatment of Mouth infection,Med Manor Organics Pvt Ltd
Sizopin 200 Tablet, Schizophrenia,Sun Pharmaceutical Industries Ltd
Solvin LS Syrup,Treatment of Cough with mucus,Ipca Laboratories Ltd
Safediclo 20mg/100mg Capsule SR, Pain relief,Abbott
Switglim-M 2/500 Tablet PR,Treatment of Type 2 diabetes mellitus,Akumentis Healthcare Ltd
Soliact 10 Tablet,Treatment of Overactive bladder (OAB) symptoms,Cipla Ltd
Synaptol SR 300 Tablet, Muscle relaxation,Sun Pharmaceutical Industries Ltd
Superia Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Sun Pharmaceutical Industries Ltd
Switglim MV 2/0.3 Tablet ER,Treatment of Type 2 diabetes mellitus,Akumentis Healthcare Ltd
Storvas 5 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Suppol Child 170mg Suppository, Pain reliefTreatment of Fever,Meridian Enterprises Pvt Ltd
Superia L Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,Sun Pharmaceutical Industries Ltd
Seroflo 125 Synchrobreathe,Treatment of Chronic obstructive pulmonary disease (COPD),Cipla Ltd
SII TD-Vac Vaccine, Tetanus Diphtheria,Serum Institute Of India Ltd
Starpress R XL 50 Tablet, Hypertension (high blood pressure),Lupin Ltd
Silverkind Nanofine Gel,Prevention of Infections,Mankind Pharma Ltd
Sporidex 125 Tablet DT,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Spafast D 2mg/37.5mg Injection, Pain due to muscle spasm,Delcure Life Sciences
Starvog 0.3 Tablet MD,Treatment of Type 2 diabetes mellitus,Merck Ltd
Stalopam 20 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Lupin Ltd
Salbair-I 100mcg/40mcg Transcaps,Treatment of Chronic obstructive pulmonary disease (COPD),Lupin Ltd
Sucral Kid Oral Suspension,Treatment of Intestinal ulcersTreatment of Stomach ulcers,Strassenburg Pharmaceuticals.Ltd
Swich XP 1000mg Injection, Bacterial infections,Alkem Laboratories Ltd
Scabelice Lotion, Scabies,Mankind Pharma Ltd
Sildoo 4 Capsule,Treatment of Benign prostatic hyperplasia,Dr Reddy's Laboratories Ltd
Supacef 750mg Injection,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Stozic 50 Tablet,Treatment of Intermittent claudication,Intas Pharmaceuticals Ltd
Sequadra Inhaler, Chronic obstructive pulmonary disease (COPD),Novartis India Ltd
Spirodin-AX Tablet, Chronic obstructive pulmonary disease (COPD),Koye Pharmaceuticals Pvt ltd
